Potência,Concessionária,Cliente,Nome do Projeto,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00,Total,,Forecast 5+7,V3,Dif MWh,Produção Específica (MWh/MWp/ano)
3.445,ESS,TELMO,Guará I,619.95,589.53,603.54,567.06,492.7,418.84,499.28,592.11,580.15,620.13,575.38,665.69,6824.359999999999,,6859.58,7010.26,0.005160923515172389,1980.9462989840345
1.691,ESS,TELMO,Guará II,306.81,273.3,285.9,274.47,235.64,214.02,238.45,284.52,262.95,286.57,318.07,328.46,3309.16,,3326.7799999999997,3418.7599999999998,0.005324614101463787,1956.92489651094
1.64,ESS,BANCOR,Guará III,307.91,291.44,305.51,254.21,235.28,202.26,238.33,284.84,259.43,305.03,319.02,308.64,3311.8999999999996,,3329.3999999999996,3421.3300000000004,0.005283975965457932,2019.451219512195
6.22,COPEL,BANCOR,Palmares,1075.5,1037.6,1123.2,990.98,826.08,722.74,802.36,1033,1057.3,1151.6,1224.2,1278.5,12323.060000000001,,12781,12781,0.03716122456597626,1981.1993569131835
1.868,ERO,TELMO,Cerrado I,280.49,232.42,286.77,280.51,274.57,306.41,338.04,312.77,291.85,312.69,289.03,257.43,3462.98,,3608.97,3703.7699999999995,0.04215733270189248,1853.8436830835117
0.993,ERO,TELCO,Cerrado II,146.24,139.59,149.9,156.65,160.57,157.68,184.69,183.04,160.71,173.58,161.63,142.1,1916.38,,1884.51,1929.2199999999998,-0.016630313403396046,1929.8892245720042
6.791,CEEE,TELMO,Bandeirante 1,1250.8,1180.1,1187.1,914.56,681.49,609.33,671.31,880.9,878.63,1142.4,1341.3,1401.3,12139.219999999996,,12060.419999999998,12476.800000000001,-0.006491356116784863,1787.5452805183324
3.394,EDP SP,TELMO,Serra Azul 03,583.14,509.93,545.1,527.26,471.15,405.68,466.93,559.55,535.95,562.94,547.64,523.8,6239.07,,6277.97,6498.62,0.006234903599414698,1838.2645845609898
3.416,EDP SP,TELMO,Serra Azul 04,507.27,490.26,526.25,469.8,434.77,433.16,436.41,535.25,492.68,489.35,456.11,505.96,5777.2699999999995,,5810.110000000001,6007.990000000001,0.005684345720383677,1691.2382903981263
1.845,EDP SP,TELCO,Serra Azul 06,285.27,273.79,299.26,275.03,243.46,220.7,227.43,295.25,291.83,296.73,293.1,289.79,3291.64,,3314.3900000000003,3421.6,0.0069114483965440066,1784.0867208672087
1.833,EDP SP,TELMO,Serra Azul 07,298.39,326.74,328.43,274.42,263.84,239.85,244.68,310.7,302.26,315.39,312.7,343.77,3561.169999999999,,3602.3900000000003,3701.2400000000002,0.011574847592224158,1942.8096017457715
2.175,EDP SP,BANCOR,Serra Azul 12,331.39,341.69,352.8,316.29,302.87,284.14,283.7,341.62,335.03,334.07,331.18,343.18,3897.9599999999996,,3919.2230000000004,4025.73,0.0054549046167742254,1792.1655172413793
3.356,EDP SP,TELMO,Serra Azul 13,445.5,446.5,476.68,369.29,434.78,410.95,451.55,500.54,466.78,447.24,421.15,460.9,5331.859999999999,,5364.6,5550.799999999999,0.0061404462982901364,1588.7544696066743
2.441,EDP SP,BANCOR,Serra Azul 26,435.7,434.39,438.2,392.15,328.57,295.86,342.53,409.03,399.77,365.65,418.83,458.46,4719.139999999999,,4749.45,4863.07,0.006422780421856622,1933.281442031954
3.724,CPFL Jaguari /Sta Cruz,TELMO,Aroeira 1,618.35,573.62,621.42,577.28,495.45,405.03,472.04,599.89,588.31,610.63,643.48,643.07,6848.57,,6933.6,7116.24,0.012415730583172913,1839.0359828141782
0.621,CPFL Jaguari /Sta Cruz,LOGIX,Aroeira 2,107.03,102.17,107.03,98.12,82.18,72.02,78.28,100.65,84.7,112.99,111.61,103.58,1160.36,,1168.8790000000001,1204.6460000000002,0.007341687062635938,1868.5346215780996
1.399,ENEL SP,TELMO,Jacarandá 01,192.35,177.92,184.43,187.87,165.14,159.56,177.12,201.99,190.73,193.8,184.04,201.7,2216.6499999999996,,2307.1000000000004,2307.1000000000004,0.0408048180813394,1584.4531808434592
3.35016,ENEL SP,TELMO,Jacarandá 02,432.47,444.43,469.92,455.84,374.85,378.35,380.28,481.69,457.12,456.78,444.46,471.24,5247.43,,5342.9,5342.9,0.01819366813849821,1566.3222055066028
2.238,ENEL SP,TELMO,Jacarandá 18,219.8,191.09,233.5,217.36,200.44,188.69,208.75,224.32,195.01,212,213.33,227.81,2532.1,,2614.2999999999997,2614.2999999999997,0.0324631728604714,1131.4119749776587
5.15,COELBA,PETRAX,Tapir 14,1000.71,870.17,977.5799999999999,833.4100000000001,645.86,677.11,734.71,830.64,914.4399999999999,935.81,980.48,992.21,10393.129999999997,,10360.500000000002,10360.500000000002,-0.003139573930086126,2018.0834951456304
,,,,43644.354999999974,40838.318999999996,44067.034,40244.78800000002,37474.018,35204.221000000005,38660.776,45040.89499999998,44170.08200000001,46579.056000000004,45498.19199999999,45775.910999999986,507197.6470000001,,,527902.1607886562,-0.03922036189002276
